id;name;author;price;description;category;is_new;main_picture
1;Lempira;pixel withdrawal;Mississippi embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;false;red
2;withdrawal knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric;Money Market Account;Salad Web virtual;true;RSS
3;mint green e-business EXE;back-end;granular Direct contextually-based;synergies copying;ability Hat Iraq;false;Bahamian Dollar
4;24/7;Gloves sky blue Oklahoma;robust Engineer;Exclusive Moroccan Dirham card;zero tolerance;false;Personal Loan Account
5;paradigms Home;Investor Public-key;Lebanon;Designer Persistent;Handmade 24/7 Re-contextualized;true;Point Orchestrator
6;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;true;synthesize Creative
7;Forint;Concrete Global SMS;Profound;parsing;Borders content-based;true;Agent
8;Human deposit;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing;Dynamic Home Loan Account Tools;false;invoice Home Gloves
9;Buckinghamshire Ports;Devolved driver Networked;Fish;payment calculating;local area network Benin;true;withdrawal Ergonomic
10;Strategist target;Investor users dot-com;North Dakota Cambridgeshire;Re-contextualized;local Shoes;true;Chips
